Family;Genus;species;bar_code;plot_code;X;Y;n_lvs;surete;status;bar_code_curr;taxon_code;DBH;Height;ID_arbre;ID_ram;Ht_sample;thickness;SPAD;toughness;dry_mass;traits_surf_area;ind_surf_area;sapwood_dens;moisture;bark_thick;twig_dens;twig_diam;twig_bark_thick;comment
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Anacardium;spruceanum;A110274;A11;66;80;3;5;OK;A110274;1;26.8;29;4;5;25;146.2333323;23.73333295;0.380000005;0.190666663;;105.7;0.42;0.53;5;0.432995439;12.3818;1.61838796;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Anacardium;spruceanum;M17116070;M1711;18;52;3;2;OK;M17116070;1;15;9;1;2;9;165.3333333;57.36666616;1.956666748;1.301666677;;601.5;0.5243;0.7305;3.5;0.428;12.3385;1.3595;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Anacardium;spruceanum;NH200022;NH20;10;336;3;5;OK;NH200022;1;29;22;3;3;22;182.5333354;39.90000025;1.806666652;1.258666635;;421.4;0.4601;1.0264;16;0.323;12.0425;4.4255;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Anacardium;spruceanum;NH200352;NH20;66;393;3;5;OK;NH200352;1;14;16;1;1;16;111.5666656;52.23333232;1.200000008;0.245000005;;113.4;0.5122;0.6088;2;0.615;15.236;1.8725;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Anacardium;spruceanum;P01860002;P018;29;2;3;5;OK;P01860095;1;15;14;2;3;14;158.6666667;44.56666565;1.969999989;0.877333343;;394.9;0.4611;;4;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Anacardium;spruceanum;P01860149;P018;60;14;3;5;OK;P01860291;1;16.7;21;3;3;20;150.8666687;40.83333397;1.543333312;0.990666687;;387.4;0.4293;;3;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Anacardium;spruceanum;P01860201;P018;79;21;3;5;OK;P01860397;1;18.3;17;2;3;17;130;40.06666692;1.816666643;0.793333332;;458.5;0.4527;;3;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Astronium;lecointei;LV109053;LV1;107.4;32.7;0;5;OK;LV109053;826;37.10191083;30;;;0;;;;;;;0.64792;0.5848;12.4;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Astronium;lecointei;LV109186;LV1;131.2;93.3;3;5;OK;LV109186;826;12.89808917;18;2;1;15;140.6666667;50.93333435;1.043333352;0.351333335;47.88960012;;0.77389;0.4628;4.5;0.440836544;8.23779;1.87879916;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Astronium;lecointei;LV109250;LV1;142.9;1.6;3;5;OK;LV109250;826;15.92356688;18;3;4;15;176.3333333;49.73333359;1.286666671;0.519666662;60.48126729;;;;;0.533159948;9.28793;2.08828929;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Astronium;lecointei;LV109392;LV1;166.7;24;3;5;OK;LV109392;826;10.50955414;9;1;1;9;146;44.36666616;1.109999994;0.219666665;38.13370005;;;;;0.632721338;11.3799;1.95387437;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Astronium;ulei;NH200376;NH20;72;335;3;5;OK;NH200376;2;12.5;18;3;2;15;153.6666667;64.36666616;0.926666657;0.268333331;;94.4;0.7377;0.542;0.5;0.518;11.8905;0.894;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;bethanniana;LV112768;LV1;150.8;22.3;3;5;OK;LV112768;4;9.394904459;13;1;1;10;205.3333333;62.5333341;0.899999996;0.442333331;42.96820068;;0.59279;0.6064;2.3;0.673740053;11.7282;2.15796402;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;bethanniana;M17116094;M1711;24;72;3;5;OK;M17116094;4;15.8;17;2;1;7;220.6666667;61.46666718;1.286666671;0.751000007;;227.3;0.5738;0.6778;2.5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;guianensis;P01860290;P018;96;30;3;5;OK;P01860506;5;17.8;23;2;3;10;169.2333323;64.73333232;1.059999983;1.346666654;;438.1;0.5944;;2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;guianensis;P01860373;P018;1;49;3;5;OK;P01860016;5;31.7;25;5;2;20;274.1999919;75.76666768;1.696666678;0.330333332;;79.7;0.5751;;5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;guianensis;P01860496;P018;31;93;3;5;OK;P01860147;5;19.9;16;2;3;16;193.9666697;63.63333384;1.396666686;0.212000002;;86;0.5482;;3;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;guianensis;T10376;T1;21;84;3;5;OK;T10376;5;48.5;30;4;4;20;163.3333333;45.30000051;0.613333335;0.444000006;65.07099915;;0.50945;0.7124;7.6;0.530158146;10.2248;1.7177979;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;obtusa;B435009;B4;70;89;3;4;OK;B435009;6;26.7;;2;3;18;189.5666656;46.83333333;1.473333359;0.386999995;;125.2;0.46;0.64;5;0.44;12.5823;2.746;GENET?
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;obtusa;LV109372;LV1;158.5;47.7;3;5;OK;LV109372;6;25.47770701;25;3;3;15;263.3333333;54.23333486;1.23666666;0.485999991;48.79533386;;0.50464;0.9806;4.95;0.436539525;12.6711;2.34361106;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;obtusa;M17116116;M1711;2;91;3;4;OK;M17116116;6;28.2;19;2;2;10;170.1333313;59.26666641;0.893333316;0.824666679;;304.6;0.4686;0.7215;3;0.467;16.06;3.6965;GENET?
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;obtusa;M17116513;M1711;37;10;3;4;OK;M17116513;6;21.8;13;4;3;13;184.6999969;50.80000051;1.113333344;0.424333334;;159.2;0.3681;1.1368;3;0.339;7.9635;1.104;GENET?
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;obtusa;M17119841;M1711;;;3;3;OK;M17119841;6;;;2;2;10;191.4666646;56.09999975;0.926666677;0.688000003;;202;0.31;1.524;;0.387;17.41;2.4415;GENET?
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Tapirira;obtusa;T10362;T1;24.5;49;3;5;OK;T10362;6;15.9;17;2;2;17;180;60.33333333;0.75999999;0.44266668;59.58653386;;0.5292;0.7707;3.6;0.385758892;15.7692;1.52131217;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;B427001;B4;33;76;3;5;OK;B427001;7;22.3;;2;3;12;221.6666667;57.09999975;1.376666665;0.382333348;;106.3;0.58;0.7;4;0.619;12.2508;1.365;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;B429023;B4;36;45;3;5;OK;B429023;7;25.5;26;3;3;25;220.3333333;56.56666692;1.669999997;0.196666668;;64.6;0.6;0.78;4;0.635;11.0998;1.514;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;LV109018;LV1;105;67.8;3;5;OK;LV109018;7;28.66242038;29;4;4;28;323.3333333;55.5333341;1.603333354;0.316999997;22.77853266;;0.59986;0.6791;10.1;0.646232616;12.1855;2.53954211;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;LV109455;LV1;181;47.4;3;5;OK;LV109455;7;25.89171975;25;2;2;22;;55.23333232;1.976666649;0.361666669;;;0.61389;0.7415;5.75;0.639949699;11.1612;1.7778271;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;LV109545;LV1;186.5;38.1;3;5;OK;LV109545;7;17.8343949;18;1;2;17;374.6666667;66.43333435;2.00333337;0.408999999;36.35003281;;0.6051;0.6239;3.2;0.621525673;10.4442;1.30410227;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;M17116458;M1711;40;61;3;5;OK;M17116458;7;16.1;17;2;3;15;248.3333333;56.76666768;2.313333352;0.572333316;;139.8;0.6136;0.7329;2;0.506;8.0745;1.253;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;P00610440;P006;57;177;3;5;OK;P00610440;7;21.3;23;2;3;20;244.8000031;63.59999975;2.089999994;0.43233334;;94.5;0.657;;5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;P00610524;P006;69;185;3;5;OK;P00610524;7;19.4;21;4;4;15;280.3333333;47.13333384;2.056666652;0.234333336;;55.2;0.6676;;5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;P00610609;P006;76;180;3;5;OK;P00610609;7;31.4;28;4;4;20;237.1333313;68.93333435;2.106666644;0.862999996;;190.5;0.6115;;9;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;P00612503;P006;53;158;3;5;OK;P00612503;7;13.2;14;4;3;12;258.9999949;58.66666667;1.516666651;0.265333325;;62.2;0.7156;;2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;A110197;A11;42;3;3;5;OK;A110197;8;40;32;5;5;25;238.100001;52.46666718;1.733333349;0.82766666;;200.6;0.52;0.78;7;0.621192753;12.4172;0.6954029;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;B427038;B4;44;76;3;5;OK;B427038;8;11.3;;2;3;12;254.4666646;59.23333359;2.266666651;2.796000004;;815.6;0.5;0.7;2;0.437;12.6512;1.699;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;B436022;B4;60;53;3;5;OK;B436022;8;26.4;;2;3;20;230.899999;53.26666641;1.909999967;0.631333331;;177.9;0.48;0.76;4;0.502;14.0182;2.268;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;B444036;B4;84;63;3;5;OK;B444036;8;21;26;4;4;26;270.2333374;53.40000153;1.76333336;1.04733336;;223.6;0.52;0.7;4;0.571;12.2841;2.19;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;LV109055;LV1;101.8;38.8;3;5;OK;LV109055;8;21.33757962;24;2;1;19;;61.29999924;2.636666616;1.932666699;170.2569987;;0.51468;0.586;6;0.4390824;15.187;2.03179918;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;LV109080;LV1;125.4;27.8;3;4;OK;LV109080;8;26.11464968;27;4;4;25;270.3333333;51.10000102;2.296666622;1.252666672;106.0420329;;0.51186;0.672;8.8;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
