"nomPilote";"Genre";"Espece"
"49071";"-";"Coccoloba";"mollis"
"9781";"acacia franc";"Enterolobium";"schomburgkii"
"20376";"acacia franc";"Zygia";"tetragona"
"69251";"acacia franc";"Enterolobium";"Indet."
"448";"adugue";"Swartzia";"guianensis"
"16047";"adugue";"Swartzia";"arborescens"
"24740";"adugue";"Swartzia";"grandifolia"
"59308";"adugue";"Swartzia";"Indet."
"100485";"adugue";"Tapirira";"obtusa"
"7232";"aganananga";"Catostemma";"fragrans"
"9472";"aganiamai";"Tapirira";"guianensis"
"10076";"aganiamai";"Tapirira";"Indet."
"32634";"aganiamai";"Cupania";"rubiginosa"
"57741";"agui";"Ormosia";"paraensis"
"3081";"agusiton";"Coussarea";"machadoana"
"7796";"agusiton";"Posoqueria";"latifolia"
"12269";"agusiton";"Coussarea";"Indet."
"54544";"agusiton";"Ferdinandusa";"paraensis"
"58921";"agusiton";"Siparuna";"decipiens"
"65838";"agusiton";"Indet.";"Indet."
"68713";"agusiton";"Hebepetalum";"humiriifolium"
"42355";"aia tuende";"Indet.";"Indet."
"7414";"akoinsiba";"Pouteria";"ambelaniifolia"
"9257";"akoinsiba";"Pouteria";"eugeniifolia"
"12850";"akoinsiba";"Indet.";"Indet."
"18388";"akoinsiba";"Chrysophyllum";"argenteum"
"35419";"akoinsiba";"Eugenia";"sp.FG21-Holst"
"54123";"akoinsiba";"Micropholis";"egensis"
"83905";"akoinsiba";"Swartzia";"guianensis"
"18150";"aluau";"Dacryodes";"sp.4CAY-ATDN"
"49310";"amarante";"Peltogyne";"sp.2CAY-ATDN"
"84556";"amarante";"Peltogyne";"venosa"
"2950";"anangosi";"Pouteria";"flavilatex"
"31403";"anangosi";"Buchenavia";"grandis"
"72103";"anangosi";"Iryanthera";"sagotiana"
"2541";"angélique";"Dicorynia";"guianensis"
"8717";"asao";"Albizia";"pedicellaris"
"66636";"asao";"Sextonia";"rubra"
"8466";"aso udu";"Unonopsis";"rufescens"
"70324";"aso udu";"Guatteria";"guianensis"
"81022";"aso udu";"Indet.";"Indet."
"20076";"atila koko";"Licania";"canescens"
"34170";"atila koko";"Hirtella";"racemosa"
"34250";"atila koko";"Indet.";"Indet."
"37492";"atila koko";"Hirtella";"bicornis"
"39863";"atila koko";"Couepia";"guianensis"
"51380";"atila koko";"Licania";"sprucei"
"77699";"atila koko";"Licania";"ovalifolia"
"77820";"atila koko";"Vantanea";"parviflora"
"84904";"atila koko";"Licania";"alba"
"7881";"atsientefi koko";"Amanoa";"guianensis"
"508";"baaka apisi";"Rhodostemonodaphne";"grandis"
"14090";"baaka apisi";"Ocotea";"cernua"
"22456";"baaka apisi";"Ocotea";"subterminalis"
"36407";"baaka apisi";"Ocotea";"glomerata"
"40382";"baaka apisi";"Ocotea";"Indet."
"57440";"baaka apisi";"Licania";"alba"
"62799";"baaka apisi";"Licaria";"cannella"
"64351";"baaka apisi";"Indet.";"Indet."
"70428";"baaka apisi";"Endlicheria";"melinonii"
"96914";"baaka apisi";"Rhodostemonodaphne";"rufovirgata"
"8513";"baaka koko";"Licania";"licaniiflora"
"10365";"baaka koko";"Indet.";"Indet."
"20473";"baaka koko";"Licania";"micrantha"
"20681";"baaka koko";"Licania";"membranacea"
"21307";"baaka koko";"Licania";"laxiflora"
"22320";"baaka koko";"Licania";"densiflora"
"39836";"baaka koko";"Licania";"canescens"
"46268";"baaka koko";"Lacunaria";"jenmanii"
"56750";"baaka koko";"Licania";"Indet."
"57168";"baaka koko";"Licania";"ovalifolia"
"69328";"baaka koko";"Ferdinandusa";"paraensis"
"72278";"baaka koko";"Poraqueiba";"guianensis"
"89128";"baaka koko";"Maytenus";"oblongata"
"772";"baaka mapa";"Couma";"guianensis"
"7069";"baaka mapa";"Indet.";"Indet."
"36551";"baaka mapa";"Ambelania";"acida"
"26482";"baaka mesupu";"Byrsonima";"densa"
"22278";"baaka pedieko";"Xylopia";"Indet."
"27768";"baaka pedieko";"Xylopia";"pulcherrima"
"32097";"baaka pedieko";"Guatteria";"schomburgkiana"
"17590";"baaka tiki";"Diospyros";"carbonaria"
"20210";"baaka tiki";"Faramea";"pedunculata"
"32951";"baaka tiki";"Coussarea";"machadoana"
"48008";"baaka tiki";"Coussarea";"Indet."
"40337";"babun weko";"Inga";"cayennensis"
"3194";"bakuman";"Pouteria";"singularis"
